title,currency,properties,neighborhood,title-2,title-3,price_dop
"Penhouse Amueblado, La Julia, (Testigo)",USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""4"", ""build_square_meters"": ""311"", ""mini_bathrooms_quantity"": ""1""}",La Julia,Distrito Nacional,Santo Domingo,16889490.0
Solar 232 mts2 Título al día y planos Cerca Residencial Edén,DOP,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": 232}",Canastica O Paraíso,San Cristóbal,San Cristóbal,700000.0
APARTAMENTO EN ALQUILER - PIANTINI ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""0"", ""mini_bathrooms_quantity"": ""1""}",Piantini,Distrito Nacional,Santo Domingo,42223.73
Se vende apartamento en Punta Cana,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""1"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""60""}",Punta cana ,Bávaro/Punta Cana,La Altagracia,4222372.5
"Alquiler de Habitaciones 6,000$",DOP,"{""property_type"": ""Amueblado"", ""rooms_quantity"": 1, ""bathrooms_quantity"": 1}",VillaMellaAv.Hermanas Mirabal,Santo Domingo Norte,Santo Domingo,6000.0
Hermoso Apartamento Con L/B en renta,USD,"{""property_type"": ""Con linea blanca"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""build_square_meters"": ""247"", ""mini_bathrooms_quantity"": ""1""}",Piantini,Distrito Nacional,Santo Domingo,73033.61
Locales disponibles en renta,USD,"{""property_type"": ""Sin Amueblar"", ""offices_quantity"": ""0"", ""bathrooms_quantity"": ""1"", ""build_square_meters"": ""1"", ""terrain_square_meters"": ""1""}",Ensanche Naco,Distrito Nacional,Santo Domingo,1292.13
Casas modernas en puerto plata ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""200"", ""terrain_square_meters"": ""400"", ""mini_bathrooms_quantity"": ""1""}",Brugal,Puerto Plata,Puerto Plata,14637558.0
solares residenciales economicos ,DOP,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": ""150""}",Villa Mella,Santo Domingo Norte,Santo Domingo,4000.0
solares residenciales a buen precio mis amores ,DOP,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": ""150""}",Villa Mella,Santo Domingo Norte,Santo Domingo,60000.0
DUEÑO DIRECTO IDEAL INVERSOR (Bávaro-Las Cayenas) ,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": 2, ""bathrooms_quantity"": 1, ""building_condition"": ""Nuevo"", ""build_square_meters"": 51}",,Bávaro/Punta Cana,La Altagracia,2815005.0
"SE VENDE HERMOSO, LUMINOSO APARTAMENTO EN LINDO RESIDENCIAL CERRADO Y CON PISCIN",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""1"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""57"", ""mini_bathrooms_quantity"": ""0""}",Otro,Bávaro/Punta Cana,La Altagracia,2503734.65
PUNTA CANA  APARTAMENTOS DE UNA HABITACIÓN,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""1"", ""build_square_meters"": ""90000000"", ""mini_bathrooms_quantity"": ""1""}",Punta cana,Bávaro/Punta Cana,La Altagracia,65000.0
Apto en Alquiler en Sector Regina ,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""build_square_meters"": ""90"", ""mini_bathrooms_quantity"": ""0""}",San Isidro Adentro,Santo Domingo Este,Santo Domingo,15000.0
Venta de casa Duplex,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""4"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""164"", ""terrain_square_meters"": ""164"", ""mini_bathrooms_quantity"": ""1""}",Independencia ,Otras ciudades,Independencia,9860000.0
Venta de solares para vacacionar a 45 minutos de la ciudad,USD,"{""property_type"": ""Residencial"", ""terrain_square_meters"": ""20000""}",La cumbre ,Bonao,Monseñor Nouel,1126.0
Apartamentos amueblados o vacíos con piscina.,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 1, ""bathrooms_quantity"": 1, ""building_condition"": ""Nuevo"", ""build_square_meters"": 55}",Altos De Chavón,La Romana,La Romana,5348509.5
"Primera linea de playa en Romana, Apartamento  ",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 2, ""bathrooms_quantity"": 2, ""building_condition"": ""En construcción"", ""build_square_meters"": 125}",Altos De Chavón,La Romana,La Romana,15531339.69
Finca,DOP,"{""condition"": ""Usado""}",Villa Mella,Santo Domingo Norte,Santo Domingo,12000000.0
Apartamento segundo piso altos de alameda,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""102""}",Alameda,Distrito Nacional,Santo Domingo,4100000.0
APTO. COMPLETAMENTE AMUEBLADO EN PIANTINI,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""200"", ""mini_bathrooms_quantity"": ""1""}",Piantini,Distrito Nacional,Santo Domingo,11798892.0
"Casa con Piscina ubicada en el Residencial Las Orquídeas, La Romana",DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""240"", ""terrain_square_meters"": ""300""}",Orquídea Primera Etapa,La Romana,La Romana,9600000.0
Habitación en Alquiler. Comoda,DOP,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""1""}",,Distrito Nacional,Santo Domingo,4500.0
"Apartamentos con bono de la primera vivienda, KM14 Autopista Duarte.",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""84""}",Km. 14,Santo Domingo Oeste,Santo Domingo,3715806.6
"LA VEGA … DUEÑO vende Casa en esquina, solar de 523m2",DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 5, ""bathrooms_quantity"": 3, ""building_condition"": ""Segundo uso"", ""build_square_meters"": 314, ""terrain_square_meters"": ""523"", ""mini_bathrooms_quantity"": ""1""}",Sabaneta,La Vega,La Vega,11.0
Apartamento tipo Loft en Naco ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""134"", ""mini_bathrooms_quantity"": ""1""}",Ensanche Naco,Distrito Nacional,Santo Domingo,15711475.8
Proyecto de Lujo y Moderno en Bella Vista,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""120"", ""mini_bathrooms_quantity"": ""1""}",Bella Vista,Distrito Nacional,Santo Domingo,6924912.3
Proyecto En El Km 14 De La Autopista Duarte Cerrado Con PISCINA!,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""1"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""66""}",Km. 14,Santo Domingo Oeste,Santo Domingo,2222390.15
Se renta un terreno comercial ,USD,"{""terrain_usage_type"": ""Comercial"", ""terrain_square_meters"": ""4575""}",,La Vega,La Vega,197050.35
Apartamento / Segunda con terraza / Venta / Evaristo Morales,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""161"", ""mini_bathrooms_quantity"": ""1""}",Evaristo Morales,Distrito Nacional,Santo Domingo,16608529.5
Apartamento en Venta en Mirador Sur,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""170"", ""mini_bathrooms_quantity"": ""1""}",Mirador Sur,Distrito Nacional,Santo Domingo,13230523.5
Apartamento Nuevo a estrenar en Bella Vista,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""144"", ""mini_bathrooms_quantity"": ""1""}",Bella Vista,Distrito Nacional,Santo Domingo,13286823.6
Apartamento Nuevo en Venta / Urbanización Real,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""190"", ""mini_bathrooms_quantity"": ""1""}",Urbanización Real,Distrito Nacional,Santo Domingo,14638026.0
Espectacular apartamento en Venta / Piantini / piso 13,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""239"", ""mini_bathrooms_quantity"": ""1""}",Piantini,Distrito Nacional,Santo Domingo,23646042.0
Apartamento en el 4to nivel con ascensor en un edificio nuevo. Area de recreo en,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""175"", ""mini_bathrooms_quantity"": ""1""}",,La Vega,La Vega,8445015.0
Terreno con playa privada de 406 metros en Playa Embassy Village,USD,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": 406}",Otro,Guayacanes,San Pedro de Macorís,3941007.0
se vende oficina por gazcue en primer piso ,DOP,"{""property_type"": ""Sin Amueblar"", ""bathrooms_quantity"": ""1"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""70""}",Gazcue,Distrito Nacional,Santo Domingo,3800000.0
lindo  proyecto de solares barato en Venta en Villa mella ,DOP,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": ""138""}",Villa Mella,Santo Domingo Norte,Santo Domingo,759000.0
solar de 220 mt2 en la ciudad,DOP,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": ""220""}",Las Américas,Santo Domingo Este,Santo Domingo,1350000.0
Apartamento en venta Ensanche Ozama,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""1"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""64""}",Ensanche Ozama,Santo Domingo Este,Santo Domingo,3040205.4
Vendo 2 Solares ,DOP,"{""terrain_usage_type"": ""Otros"", ""terrain_square_meters"": 700}",,San Cristóbal,San Cristóbal,850000.0
Alquiler de apartamento por noche ,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""75""}",Buena Vista,Santiago de los Caballeros,Santiago,2533.5
SOLARES REDIDENCIALES CON TÍTULOS 😍,DOP,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": ""150""}",,Santo Domingo Norte,Santo Domingo,4000.0
Local y apartamento,DOP,"{""otherBathroom"": 2, ""property_type"": ""Sin Amueblar"", ""offices_quantity"": 0, ""building_condition"": ""second-hand"", ""build_square_meters"": 70, ""terrain_square_meters"": 75}",,Distrito Nacional,Santo Domingo,2900000.0
Apartamento en Evaristo morales ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""214"", ""mini_bathrooms_quantity"": ""1""}",Evaristo Morales,Distrito Nacional,Santo Domingo,14075025.0
GAZCUE!! HERMOSO PROYECTO DE APARTAMENTOS FRENTE AL MAR EN LO MEJOR DE GAZCUE. ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""123"", ""mini_bathrooms_quantity"": ""1""}",Gazcue,Distrito Nacional,Santo Domingo,13089773.25
APARTAMENTO EN VENTA BELLA VISTA,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""120""}",Bella Vista,Distrito Nacional,Santo Domingo,9571017.0
SE VENDE PROPIEDAD,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 5, ""bathrooms_quantity"": 2, ""building_condition"": ""Segundo uso"", ""build_square_meters"": 180, ""terrain_square_meters"": ""376"", ""mini_bathrooms_quantity"": ""1""}",Centro Del Pueblo,San Juan de la Maguana,San Juan,11000000.0
Apartamento amueblado/equipado con servicios ,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": 1, ""bathrooms_quantity"": 1, ""build_square_meters"": 150}",Gazcue,Santo Domingo Oeste,Santo Domingo,38847.07
Villa,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""300"", ""terrain_square_meters"": ""1000"", ""mini_bathrooms_quantity"": ""2""}",Haras Nacionales,Santo Domingo Norte,Santo Domingo,12949.02
Villa en Pedro Brand,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": 5, ""bathrooms_quantity"": 4, ""build_square_meters"": 250, ""terrain_square_meters"": ""900"", ""mini_bathrooms_quantity"": 1}",Pedro Brand,Otras ciudades,Santo Domingo,20866.59
"Vendo solar en santa Lucía de camba Doña Ana
Negociable ",USD,"{""property_type"": ""Otro"", ""terrain_square_meters"": ""170""}",San Cristobal Doña Ana,San Cristóbal,San Cristóbal,337800.6
"Apartamento d 3 habitaciones, 2 baños, 2 parqueos, San Isidro 5.8mm, Negociable.",DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""01""}",San Isidro Afuera,Santo Domingo Este,Santo Domingo,5800000.0
"Apartamento en Alma Rosa II, 4to piso 4,5mm, NEGOCIBLE.",DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""100""}",Alma Rosa,Santo Domingo Este,Santo Domingo,4500000.0
Se alquila solar en Nibaje en La Avenida Franco Bido ,DOP,"{""terrain_usage_type"": ""Comercial"", ""terrain_square_meters"": ""518""}",,Santiago de los Caballeros,Santiago,45000.0
VENDO AMPLIA CASA,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 2, ""building_condition"": ""Segundo uso"", ""build_square_meters"": 385, ""mini_bathrooms_quantity"": ""1""}",Autopista san isidro,Santo Domingo Este,Santo Domingo,9000000.0
Solar en La Vega,DOP,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": ""460""}",Guaigui,La Vega,La Vega,4500.0
Apartamento de Venta Av. Jacobo Majluta ,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 2, ""building_condition"": ""Segundo uso"", ""build_square_meters"": 85, ""mini_bathrooms_quantity"": 1}",,Santo Domingo Norte,Santo Domingo,3700000.0
Local comercial,DOP,"{""property_type"": ""Sin Amueblar"", ""build_square_meters"": ""25"", ""terrain_square_meters"": ""25""}",Alma rosa primera ,Santo Domingo Este,Santo Domingo,20000.0
"Alquilo casa de 3 hab, sala, comedor, cocina, patio, galeria, marquesina, 2 baño",DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""180"", ""terrain_square_meters"": ""166"", ""mini_bathrooms_quantity"": ""0""}",Alameda,Santo Domingo Oeste,Santo Domingo,23000.0
VENDO EDIFICION CON 5 APARTAMENTO Y 2 LOCALES COMERCIALES,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""1"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""300""}",Santa Cruz,Santo Domingo Norte,Santo Domingo,11000000.0
"Quieres VIVIR o INVERTIR el la Exclusiva zona de punta cana 
 
",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En planos"", ""build_square_meters"": ""65"", ""mini_bathrooms_quantity"": ""2""}",El Muelle,Santo Domingo Este,Santo Domingo,8403033.8
Apartamento en la Avenida Independencia próximo a la Núñez de Cáceres,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""136"", ""mini_bathrooms_quantity"": ""1""}",Jardines Del Sur,Distrito Nacional,Santo Domingo,9522962.85
Casa en Venta en Pontezuela Santiago de los Caballeros,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En planos"", ""build_square_meters"": ""170"", ""terrain_square_meters"": ""270"", ""mini_bathrooms_quantity"": ""1""}",Pontezuela Al Medio,Santiago de los Caballeros,Santiago,8839115.7
"Solar 1,500 mts La Caleta cerca de las Americas",DOP,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": ""1500""}",El Valiente,Boca Chica,Santo Domingo,3150000.0
SOLARES REDIDENCIALES CON TÍTULOS 😍,DOP,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": 150}",,Santo Domingo Norte,Santo Domingo,60000.0
🚨En Renta Apartamentos a Estrenar al alada de Plaza Comercial con Supermercado!,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""1"", ""build_square_meters"": ""64""}",Pueblo Bavaro Al lado del Ole.,Bávaro/Punta Cana,La Altagracia,18027.23
Lujosa y confortable casa de dos niveles en Santiago,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""En planos"", ""build_square_meters"": ""235"", ""terrain_square_meters"": ""270"", ""mini_bathrooms_quantity"": ""1""}",Pontezuela Al Medio,Santiago de los Caballeros,Santiago,12104521.5
SOLAR EN VENTA,DOP,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": ""250""}",,La Vega,La Vega,3600.0
Acogedor Apartamento en Vista Hermosa Sto. Dgo ESTE,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 2, ""bathrooms_quantity"": 1, ""building_condition"": ""Segundo uso"", ""build_square_meters"": 74, ""mini_bathrooms_quantity"": 0}",,Santo Domingo Este,Santo Domingo,3350000.0
apartamento,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 2, ""building_condition"": ""Nuevo"", ""build_square_meters"": 84}",Pantoja,Santo Domingo Oeste,Santo Domingo,3300000.0
Vendo hermosa casa en Santo Domingo Este,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""4"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""230"", ""terrain_square_meters"": ""700"", ""mini_bathrooms_quantity"": ""1""}",Riviera del Este,Santo Domingo Este,Santo Domingo,8500000.0
"Locales para Oficinas, Av. 27 de Febrero",DOP,"{""property_type"": ""Sin Amueblar"", ""offices_quantity"": ""2"", ""build_square_meters"": ""37""}",,Distrito Nacional,Santo Domingo,27000.0
Venta de Apartamento 2 pisoCuidado Real Leonardo Da Vinci  Ashley 11,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 3, ""building_condition"": ""Segundo uso"", ""build_square_meters"": 240, ""mini_bathrooms_quantity"": 1}",Renacimiento,Distrito Nacional,Santo Domingo,13535088.0
"PENTHOUSES EN PROYECTO DE 12 APTS. EN CONSTRUCCION EN TROPICAL DEL ESTE
",DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""216"", ""mini_bathrooms_quantity"": ""1""}",TROPICAL DEL ESTE,Santo Domingo Este,Santo Domingo,6500000.0
Solar en proyecto cerrado de 258 mts2,DOP,"{""property_type"": ""Residencial"", ""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": ""258""}",Hatillo ,San Cristóbal,San Cristóbal,780000.0
solares a precio de feria no te la pierdas este Próximo domingo,DOP,"{""property_type"": ""Residencial"", ""terrain_square_meters"": ""135""}",AV.Ramon Matias Mella,Santo Domingo Norte,Santo Domingo,742500.0
Hermoso Apto. para vivir tranquilo,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""139"", ""mini_bathrooms_quantity"": ""1""}",Altos de Arroyo Hondo III,Distrito Nacional,Santo Domingo,5850.0
Apartamento en los Cacicazgos ,USD,"{""property_type"": ""Con linea blanca"", ""rooms_quantity"": 4, ""bathrooms_quantity"": 4, ""building_condition"": ""En construcción"", ""build_square_meters"": 465, ""mini_bathrooms_quantity"": 1}",Los Cacicazgos,Distrito Nacional,Santo Domingo,47936770.0
Apto en el 3er piso de 3 hab,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""135"", ""mini_bathrooms_quantity"": ""1""}",Ens. Quisqueya,Distrito Nacional,Santo Domingo,30000.0
Se alquila apartamento amueblado ,DOP,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""135"", ""mini_bathrooms_quantity"": ""1""}",,Santiago de los Caballeros,Santiago,42000.0
Apartamento en alquiler en Evaristo Morales,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""110"", ""mini_bathrooms_quantity"": ""1""}",Evaristo Morales,Distrito Nacional,Santo Domingo,43460.14
Apartameto con piscina Nuevo,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""88""}",Buena Vista,Santiago de los Caballeros,Santiago,3400000.0
Apartamento en Santiago,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""101"", ""mini_bathrooms_quantity"": ""1""}",Reparto Consuelo,Santiago de los Caballeros,Santiago,3819328.8
Se Alquila Apto 1Hab Pueblo Bávaro ,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""1"", ""build_square_meters"": ""55""}",Otro,Bávaro/Punta Cana,La Altagracia,19111.3
Local comercial carretera Higüey Veron,DOP,"{""property_type"": ""Sin Amueblar"", ""offices_quantity"": 1, ""bathrooms_quantity"": ""1"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": 861, ""terrain_square_meters"": 2131}",Verón,Higüey,La Altagracia,10500000.0
"Apartamento en SAMANA, Playa, Piscina, Sol y Arena, Frente a los Cayos del Limón",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""140"", ""mini_bathrooms_quantity"": ""1""}",Río Limón,Samaná,Samaná,10433297.0
Proyecto en Bella Vista ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""1"", ""building_condition"": ""En planos"", ""build_square_meters"": ""50"", ""mini_bathrooms_quantity"": ""1""}",Bella Vista,Distrito Nacional,Santo Domingo,7037512.5
Solares económico,DOP,"{""property_type"": ""Residencial"", ""terrain_square_meters"": ""135""}",Don Marcos,Santo Domingo Norte,Santo Domingo,5500.0
"Venta de Solar en Jarabacoa
Decía Pepin",DOP,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": ""1200""}",Buena Vista,Jarabacoa,La Vega,2500000.0
Apartamentos de Lujos en La Julia ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""160"", ""mini_bathrooms_quantity"": ""1""}",La Julia,Distrito Nacional,Santo Domingo,14750626.2
Casa Ens. Julieta 2 niveles,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""362""}",,Distrito Nacional,Santo Domingo,17500000.0
Apartamento 1Hab Nuevo a Estrenar en Piso Alto c/Áreas Social y Gym en Naco ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""75""}",Ensanche Naco,Distrito Nacional,Santo Domingo,56300.1
"Solares  en Hermosa Urbanización: Castellana, Matanza",DOP,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": 280}",,Santiago de los Caballeros,Santiago,1446000.0
Apto. En el Evaristo Morales.,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""134"", ""mini_bathrooms_quantity"": ""1""}",Evaristo morales ,Distrito Nacional,Santo Domingo,5339921.5
"Casa 2 niveles Arroyo Hondo ll
",DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""1"", ""terrain_square_meters"": ""425""}",Arroyo hondo ll,Distrito Nacional,Santo Domingo,12000000.0
Casa 5 habitaciones en Isabel Villas,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 5, ""bathrooms_quantity"": 5, ""building_condition"": ""second-hand"", ""build_square_meters"": 1200, ""mini_bathrooms_quantity"": 2}",,Distrito Nacional,Santo Domingo,32500000.0
"Apartamento en evaristo Morales de 130 m2, 5to piso",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""130"", ""mini_bathrooms_quantity"": ""2""}",Evaristo morales,Distrito Nacional,Santo Domingo,7162543.85
casa 2 niveles en ens Julieta ,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""270""}",,Distrito Nacional,Santo Domingo,13000000.0
ARROYO HONDO 600 Mts CLASICA 3 Hab JACUZZI,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""600"", ""terrain_square_meters"": ""450"", ""mini_bathrooms_quantity"": ""1""}",,Distrito Nacional,Santo Domingo,21994518.0
Solares,DOP,"{""property_type"": ""Residencial"", ""terrain_square_meters"": 135}",Villa mella,Santo Domingo Norte,Santo Domingo,810000.0
